,date,Temperature,CloudOpacity,DHI,DNI,Radiation,Precipitation,Humidity,Pressure,WindDirection,WindSpeed,Sunrise,Sunset
0,2018-12-31,7.888888888888889,65.94444444444444,35.77777777777778,0.0,35.77777777777778,13.555555555555559,95.40000000000002,1021.4777777777776,329.1111111111111,1.8555555555555552,09:00:00,17:00:00
1,2019-01-01,6.922222222222222,68.07777777777778,36.111111111111114,0.0,36.111111111111114,9.877777777777778,90.03333333333333,1019.5222222222224,306.77777777777777,3.5444444444444447,09:00:00,17:00:00
2,2019-01-02,4.266666666666667,40.544444444444444,70.88888888888889,13.555555555555555,72.0,6.833333333333333,74.25555555555556,1024.7444444444443,10.777777777777779,4.5777777777777775,09:00:00,17:00:00
3,2019-01-03,2.8,35.67777777777778,83.11111111111111,18.11111111111111,84.66666666666667,7.666666666666667,83.72222222222223,1025.0777777777778,21.333333333333332,3.2222222222222223,09:00:00,17:00:00
4,2019-01-04,2.033333333333333,52.32222222222222,67.33333333333333,21.77777777777778,71.55555555555556,8.544444444444444,86.61111111111111,1024.9666666666665,53.55555555555556,3.0888888888888886,09:00:00,17:00:00
5,2019-01-05,3.711111111111111,57.55555555555556,44.888888888888886,5.222222222222222,45.333333333333336,10.433333333333334,83.1,1022.1666666666666,325.1111111111111,4.311111111111111,09:00:00,17:00:00
6,2019-01-06,4.375,75.36250000000001,46.5,0.0,46.5,11.3875,82.9875,1021.55,315.125,2.9125000000000005,0,17:00:00
7,2019-01-07,5.333333333333334,53.65555555555556,70.33333333333333,0.0,70.33333333333333,14.38888888888889,92.25555555555556,1020.5555555555555,282.55555555555554,2.033333333333333,09:00:00,17:00:00
8,2019-01-08,6.6000000000000005,40.1875,99.75,67.875,117.375,8.975,81.2375,1011.3874999999999,318.5,6.1499999999999995,0,17:00:00
9,2019-01-09,3.988888888888889,48.28888888888889,63.111111111111114,15.11111111111111,65.22222222222223,7.655555555555555,74.42222222222223,1008.8555555555554,345.8888888888889,7.233333333333334,09:00:00,17:00:00
10,2019-01-10,2.177777777777778,35.98888888888889,94.33333333333333,24.666666666666668,97.11111111111111,9.244444444444445,81.23333333333333,1013.0666666666667,13.333333333333334,3.7777777777777777,09:00:00,17:00:00
11,2019-01-11,4.8,64.225,55.25,9.0,57.0,15.15,95.38750000000002,1013.45,312.375,2.6,0,17:00:00
12,2019-01-12,5.655555555555555,67.61111111111111,56.44444444444444,0.0,56.44444444444444,13.644444444444444,89.85555555555555,1011.3000000000001,261.22222222222223,5.800000000000001,09:00:00,17:00:00
13,2019-01-13,8.9375,54.5375,74.375,45.125,86.375,19.262500000000003,90.6125,1001.8499999999999,280.875,7.65,0,17:00:00
14,2019-01-14,6.6,38.99999999999999,77.1,8.1,78.5,10.080000000000002,75.4,1005.76,315.5,5.3,09:00:00,18:00:00
15,2019-01-15,6.0,62.919999999999995,59.2,0.0,59.2,8.24,74.47999999999999,1008.35,248.7,3.45,09:00:00,18:00:00
16,2019-01-16,3.7399999999999998,21.66,46.9,396.5,159.1,11.469999999999999,78.47,996.8399999999999,215.4,4.749999999999999,09:00:00,18:00:00
17,2019-01-17,4.85,31.820000000000004,76.6,82.2,101.5,8.239999999999998,84.19000000000001,995.99,286.1,6.619999999999999,09:00:00,18:00:00
18,2019-01-18,1.6,7.899999999999999,51.1,440.1,169.7,6.089999999999999,77.46000000000001,1004.61,166.2,3.1100000000000003,09:00:00,18:00:00
19,2019-01-19,1.3125,48.925000000000004,90.125,77.875,108.5,11.637500000000001,79.9625,996.4125000000001,149.625,4.825,0,17:00:00
20,2019-01-20,2.5555555555555554,57.36666666666666,56.77777777777778,16.11111111111111,58.22222222222222,10.88888888888889,93.27777777777779,999.6111111111111,44.44444444444444,2.8555555555555556,0,18:00:00
21,2019-01-21,-0.74,0.0,38.8,571.1,192.8,3.9799999999999995,77.72000000000001,1007.95,233.7,1.65,09:00:00,18:00:00
22,2019-01-22,0.7000000000000001,59.28888888888888,58.333333333333336,0.6666666666666666,58.333333333333336,9.977777777777776,95.51111111111112,990.9000000000001,211.11111111111111,3.866666666666667,0,18:00:00
23,2019-01-23,1.0999999999999999,65.44,42.1,0.0,42.1,7.95,93.12999999999998,982.8099999999998,337.0,5.700000000000001,09:00:00,18:00:00
24,2019-01-24,0.43,55.18000000000001,69.7,9.8,70.6,7.079999999999998,88.74999999999999,997.75,302.4,2.3200000000000003,09:00:00,18:00:00
25,2019-01-25,3.12,49.99,69.1,40.5,82.3,13.8,93.98,1002.0199999999999,226.9,2.5,09:00:00,18:00:00
26,2019-01-26,7.19,62.17,78.7,0.0,78.7,10.73,91.99000000000001,996.6,240.7,6.470000000000001,09:00:00,18:00:00
27,2019-01-27,5.360000000000001,73.22,37.8,0.0,37.8,11.29,86.97,978.1700000000001,280.6,8.399999999999999,09:00:00,18:00:00
28,2019-01-28,3.75,25.630000000000003,80.1,222.7,142.0,7.4700000000000015,70.84,990.6,309.4,6.19,09:00:00,18:00:00
29,2019-01-29,1.7399999999999998,67.39,83.8,0.0,83.8,10.040000000000001,79.67999999999999,987.9199999999998,162.9,5.86,09:00:00,18:00:00
30,2019-01-30,1.85,30.130000000000003,68.1,329.4,181.0,6.609999999999999,82.4,983.05,256.8,5.76,09:00:00,18:00:00
31,2019-01-31,-0.7199999999999999,51.98,102.2,20.3,106.6,6.23,92.13000000000001,978.54,132.8,4.799999999999999,09:00:00,18:00:00
32,2019-02-01,5.05,60.499999999999986,80.1,2.0,80.5,12.66,91.97999999999999,972.51,166.7,3.4300000000000006,09:00:00,18:00:00
33,2019-02-02,3.5100000000000002,63.98,71.8,0.0,71.8,10.309999999999999,88.83999999999999,986.5899999999999,333.3,6.99,09:00:00,18:00:00
34,2019-02-03,3.5200000000000005,8.05,80.9,423.3,210.9,6.29,75.03999999999999,1008.95,346.8,5.279999999999999,09:00:00,18:00:00
35,2019-02-04,2.38,60.4,90.9,1.9,91.3,10.870000000000001,75.85,1011.51,196.9,5.95,09:00:00,18:00:00
36,2019-02-05,3.9,17.1,69.4,417.6,209.1,8.079999999999998,79.28,1013.1,175.6,3.04,09:00:00,18:00:00
37,2019-02-06,8.110000000000001,64.89,77.6,0.0,77.6,20.869999999999997,95.06,1008.46,197.2,4.84,09:00:00,18:00:00
38,2019-02-07,8.029999999999998,11.08,70.7,489.3,231.3,9.370000000000001,73.71,1000.5300000000001,251.2,7.290000000000001,09:00:00,18:00:00
39,2019-02-08,8.48,68.53,76.2,0.0,76.2,15.219999999999999,80.46000000000001,997.74,206.6,9.47,09:00:00,18:00:00
40,2019-02-09,8.77,24.549999999999997,121.3,221.8,194.5,11.4,72.64,997.71,235.7,8.559999999999999,09:00:00,18:00:00
41,2019-02-10,7.609999999999999,56.379999999999995,92.3,62.1,113.5,13.319999999999999,85.11,984.9200000000001,252.6,10.91,09:00:00,18:00:00
42,2019-02-11,5.829999999999999,42.41,125.7,23.2,128.6,8.669999999999998,82.77000000000001,1009.1200000000001,310.7,5.1000000000000005,09:00:00,18:00:00
43,2019-02-12,5.22,41.5,118.6,103.5,142.5,10.030000000000001,77.09,1021.3399999999999,230.7,1.9900000000000002,09:00:00,18:00:00
44,2019-02-13,5.0,11.22,77.1,480.5,255.6,9.030000000000001,80.13999999999999,1021.0199999999999,144.2,2.9800000000000004,09:00:00,18:00:00
45,2019-02-14,6.82,3.5,66.7,631.2,280.0,6.660000000000002,71.09,1018.53,140.7,3.1399999999999997,09:00:00,18:00:00
46,2019-02-15,9.03,0.73,58.4,668.4,290.1,6.62,64.78,1014.71,154.8,3.25,09:00:00,18:00:00
47,2019-02-16,9.47,3.09,67.6,639.8,289.4,7.589999999999999,62.709999999999994,1012.11,201.4,2.8500000000000005,09:00:00,18:00:00
48,2019-02-17,11.049999999999999,3.2300000000000004,71.6,632.7,295.9,6.65,48.17,1005.8700000000001,191.3,5.11,09:00:00,18:00:00
49,2019-02-18,9.481818181818182,6.781818181818181,68.36363636363636,547.9090909090909,268.3636363636364,8.981818181818182,65.09090909090908,1003.3272727272729,193.36363636363637,3.563636363636363,09:00:00,19:00:00
50,2019-02-19,7.900000000000002,27.527272727272727,99.36363636363636,297.90909090909093,208.45454545454547,10.254545454545454,77.01818181818182,1007.8909090909091,244.27272727272728,2.2454545454545456,09:00:00,19:00:00
51,2019-02-20,8.327272727272726,17.127272727272725,111.18181818181819,288.72727272727275,219.54545454545453,14.227272727272727,79.4090909090909,1009.3181818181819,200.9090909090909,3.1,09:00:00,19:00:00
52,2019-02-21,8.033333333333333,1.3250000000000002,83.33333333333333,432.8333333333333,247.0,9.241666666666665,76.63333333333333,1014.1083333333332,229.16666666666666,2.458333333333333,09:00:00,19:00:00
53,2019-02-22,9.05,0.10000000000000002,56.166666666666664,552.5,265.8333333333333,11.125,72.09166666666667,1020.35,75.75,2.208333333333333,09:00:00,19:00:00
54,2019-02-23,10.441666666666666,1.0999999999999999,57.75,581.25,273.9166666666667,9.091666666666667,67.69999999999999,1018.775,85.25,3.5750000000000006,09:00:00,19:00:00
55,2019-02-24,8.791666666666666,1.2,55.666666666666664,601.5833333333334,280.0,7.883333333333333,47.23333333333334,1020.3083333333334,87.5,3.158333333333333,09:00:00,19:00:00
56,2019-02-25,10.708333333333334,1.125,57.5,594.0833333333334,281.8333333333333,9.125,50.15,1020.3166666666666,81.08333333333333,3.225,09:00:00,19:00:00
57,2019-02-26,11.575000000000003,1.25,60.666666666666664,592.5,288.5833333333333,7.491666666666667,61.050000000000004,1017.3749999999999,111.5,3.0416666666666665,09:00:00,19:00:00
58,2019-02-27,12.325000000000001,0.8249999999999998,64.91666666666667,575.8333333333334,291.5833333333333,8.475,62.76666666666666,1011.275,215.58333333333334,2.9250000000000003,09:00:00,19:00:00
59,2019-02-28,9.916666666666666,38.94166666666667,112.66666666666667,120.16666666666667,149.16666666666666,13.958333333333334,80.35000000000001,1006.9749999999999,250.58333333333334,7.466666666666665,09:00:00,19:00:00
60,2019-03-01,8.758333333333333,59.49166666666667,79.25,2.75,79.5,13.766666666666666,85.46666666666665,1005.4499999999999,303.3333333333333,5.458333333333333,09:00:00,19:00:00
61,2019-03-02,9.25,62.63333333333335,108.0,23.583333333333332,111.5,15.633333333333333,83.75000000000001,1001.8333333333334,239.75,5.908333333333332,09:00:00,19:00:00
62,2019-03-03,12.058333333333335,71.73333333333333,78.08333333333333,16.083333333333332,86.75,17.625000000000004,72.15833333333335,995.6166666666667,219.08333333333334,9.591666666666667,09:00:00,19:00:00
63,2019-03-04,7.933333333333333,43.46666666666667,128.58333333333334,47.333333333333336,141.33333333333334,11.683333333333332,78.37500000000001,986.8416666666666,249.25,10.4,09:00:00,19:00:00
64,2019-03-05,7.941666666666666,53.849999999999994,125.08333333333333,31.416666666666668,133.41666666666666,13.866666666666669,79.96666666666667,995.3333333333334,228.83333333333334,6.525000000000001,09:00:00,19:00:00
65,2019-03-06,10.691666666666665,79.47500000000001,55.416666666666664,0.0,55.416666666666664,21.349999999999998,76.75833333333333,983.2416666666668,186.25,7.2,09:00:00,19:00:00
66,2019-03-07,8.683333333333334,28.750000000000004,163.91666666666666,191.75,224.5,10.916666666666666,73.69166666666668,987.3583333333332,241.25,9.733333333333333,09:00:00,19:00:00
67,2019-03-08,8.758333333333333,27.833333333333332,153.83333333333334,222.75,239.0,10.483333333333334,68.86666666666666,1002.4583333333334,244.5,6.125000000000001,09:00:00,19:00:00
68,2019-03-09,10.683333333333332,57.26666666666666,129.08333333333334,52.333333333333336,152.83333333333334,13.258333333333335,80.075,1004.2083333333334,255.08333333333334,7.766666666666667,09:00:00,19:00:00
69,2019-03-10,10.075000000000001,27.666666666666668,135.5,321.8333333333333,265.6666666666667,9.291666666666666,70.7,1000.8666666666667,268.9166666666667,11.424999999999999,09:00:00,19:00:00
70,2019-03-11,5.916666666666668,21.175,130.75,374.1666666666667,305.6666666666667,7.399999999999999,66.84166666666667,1012.4916666666667,303.0833333333333,8.224999999999998,09:00:00,19:00:00
71,2019-03-12,8.658333333333333,40.18333333333334,153.08333333333334,179.33333333333334,243.0,13.508333333333333,63.5,999.4000000000001,210.66666666666666,9.741666666666667,09:00:00,19:00:00
72,2019-03-13,7.1916666666666655,18.3,172.41666666666666,214.16666666666666,257.3333333333333,10.525,74.27499999999999,999.6166666666664,267.5,9.749999999999998,09:00:00,19:00:00
73,2019-03-14,7.858333333333333,73.04166666666667,98.08333333333333,0.0,98.08333333333333,18.525000000000002,93.44999999999999,996.625,259.4166666666667,10.258333333333335,09:00:00,19:00:00
74,2019-03-15,9.874999999999998,72.26666666666667,89.5,0.0,89.5,18.958333333333332,85.90000000000002,1000.9666666666667,259.3333333333333,9.741666666666667,09:00:00,19:00:00
75,2019-03-16,10.216666666666667,37.916666666666664,119.5,279.9166666666667,236.41666666666666,10.549999999999999,66.9,998.7833333333333,230.91666666666666,8.983333333333334,09:00:00,19:00:00
76,2019-03-17,7.3500000000000005,43.5,143.58333333333334,190.33333333333334,244.25,9.283333333333333,74.91666666666669,995.4083333333332,272.5833333333333,7.724999999999999,09:00:00,19:00:00
77,2019-03-18,7.283333333333332,24.333333333333332,208.91666666666666,196.16666666666666,282.4166666666667,10.174999999999999,71.59166666666667,1007.3249999999999,305.25,4.383333333333333,09:00:00,19:00:00
78,2019-03-19,7.716666666666666,16.083333333333332,195.75,290.8333333333333,306.6666666666667,9.966666666666667,68.11666666666667,1014.85,253.0,1.05,09:00:00,19:00:00
79,2019-03-20,8.825000000000001,33.733333333333334,205.58333333333334,100.0,237.16666666666666,14.024999999999999,68.54166666666667,1019.8083333333333,269.1666666666667,2.3083333333333336,09:00:00,19:00:00
80,2019-03-21,10.1,1.4666666666666668,79.16666666666667,659.6666666666666,400.9166666666667,13.366666666666667,68.63333333333334,1018.7583333333333,24.75,2.0,09:00:00,19:00:00
81,2019-03-22,10.592307692307694,2.3230769230769233,73.6923076923077,611.0,381.46153846153845,8.792307692307691,66.73076923076924,1014.7923076923076,184.84615384615384,2.076923076923077,09:00:00,19:00:00
82,2019-03-23,7.815384615384618,34.661538461538456,182.23076923076923,55.23076923076923,214.0,9.223076923076924,73.16153846153844,1015.5307692307692,166.3846153846154,2.284615384615385,09:00:00,19:00:00
83,2019-03-24,7.776923076923077,47.03846153846154,152.15384615384616,25.76923076923077,158.46153846153845,9.876923076923077,77.17692307692309,1013.3692307692307,140.23076923076923,3.161538461538462,09:00:00,19:00:00
84,2019-03-25,7.746153846153845,5.323076923076924,118.38461538461539,525.1538461538462,373.15384615384613,7.415384615384616,60.76153846153846,1014.3000000000001,239.76923076923077,6.253846153846153,09:00:00,19:00:00
85,2019-03-26,7.3357142857142845,4.95,68.28571428571429,562.5,366.57142857142856,8.814285714285715,64.47142857142858,1018.4214285714286,88.57142857142857,3.2642857142857147,09:00:00,19:00:00
86,2019-03-27,8.178571428571429,11.807142857142859,173.35714285714286,278.92857142857144,304.14285714285717,12.307142857142859,65.68571428571428,1018.8428571428573,32.142857142857146,2.978571428571428,09:00:00,20:00:00
87,2019-03-28,9.642857142857142,5.471428571428572,153.35714285714286,353.0,326.85714285714283,13.55,66.45714285714286,1019.4785714285714,39.857142857142854,3.2285714285714286,09:00:00,20:00:00
88,2019-03-29,12.228571428571428,1.5285714285714287,78.71428571428571,567.3571428571429,376.07142857142856,12.814285714285715,63.24999999999999,1012.9857142857143,91.5,3.0142857142857147,09:00:00,20:00:00
89,2019-03-30,12.985714285714286,0.9642857142857144,85.14285714285714,585.7857142857143,382.7142857142857,10.414285714285713,54.34285714285714,1006.8857142857142,170.57142857142858,3.121428571428571,09:00:00,20:00:00
90,2019-03-31,13.642857142857144,0.1285714285714286,77.35714285714286,606.5714285714286,390.64285714285717,11.664285714285713,51.44285714285716,1004.6357142857144,57.214285714285715,3.7357142857142867,09:00:00,21:00:00
91,2019-04-01,13.82142857142857,4.607142857142857,117.07142857142857,474.2142857142857,374.7142857142857,12.864285714285714,58.96428571428572,1001.5357142857143,93.64285714285714,3.135714285714286,09:00:00,21:00:00
92,2019-04-02,11.528571428571428,50.3,164.71428571428572,121.35714285714286,244.85714285714286,14.635714285714286,70.1,992.3999999999999,234.57142857142858,6.307142857142859,09:00:00,21:00:00
93,2019-04-03,6.814285714285715,35.192857142857136,219.57142857142858,72.0,252.92857142857142,8.27142857142857,71.04285714285716,985.9785714285715,222.35714285714286,4.728571428571429,09:00:00,21:00:00
94,2019-04-04,6.942857142857143,14.857142857142856,169.71428571428572,397.64285714285717,350.7857142857143,6.571428571428571,58.221428571428575,985.0571428571428,204.5,4.2785714285714285,09:00:00,21:00:00
95,2019-04-05,9.821428571428571,31.642857142857146,162.42857142857142,224.78571428571428,300.2857142857143,9.799999999999999,51.25714285714287,988.2571428571428,125.35714285714286,4.457142857142857,09:00:00,21:00:00
96,2019-04-06,12.299999999999999,25.55714285714286,165.21428571428572,284.35714285714283,325.92857142857144,13.057142857142855,55.59285714285714,986.8428571428574,103.57142857142857,4.171428571428572,09:00:00,21:00:00
97,2019-04-07,11.042857142857144,45.05714285714286,211.28571428571428,4.142857142857143,211.92857142857142,14.178571428571429,66.97142857142856,992.7428571428571,259.5,2.878571428571429,09:00:00,21:00:00
98,2019-04-08,12.471428571428573,36.76428571428571,248.57142857142858,73.07142857142857,294.2142857142857,13.35714285714286,61.1,996.7642857142857,246.57142857142858,2.242857142857143,09:00:00,21:00:00
99,2019-04-09,11.185714285714283,47.58571428571429,205.28571428571428,7.642857142857143,208.35714285714286,16.42142857142857,80.56428571428572,996.2214285714284,286.07142857142856,1.8499999999999999,09:00:00,21:00:00
